person,x,y
2,570.1,529.2
2,627.4,560.3
2,310.1,646.2
2,434.5,402.8
2,496.2,333.3
2,573.2,458.5
2,211.1,582.5
2,523.2,502.4
2,635.1,576.4
2,313.4,723
2,391.9,686.9
2,438.3,730.8
2,423.2,745.6
2,445.1,638.4
2,352,726.3
2,435.2,756.5
2,548.1,870
2,831,835.2
2,708.7,323.5
2,636.2,165
2,492,478.4
2,691,242
2,541.5,472
2,166.8,566
2,455.6,649.8
2,742.6,705.5
2,704.4,575.1
2,538.8,302.7
2,486.8,436.2
2,416.2,362.2
2,445.5,83.5
2,378.2,375.7
2,346.1,488.6
2,348.4,455.5
2,483.1,429.3
2,256.9,671.1
2,443.2,676.7
2,556.3,727.7
2,532.9,717.1
2,690.2,207.2
2,716.7,194.4
2,557.5,347.2
2,596.9,377.2
2,418.1,210.6
2,358.6,220
2,490.4,228.6
2,562.1,277.8
2,415.3,659
2,408.4,618.3
2,622.9,576.2
2,362.9,922.6
2,362.9,878.7
2,357.1,841.4
2,443.6,831.1
2,468.1,849.3
2,719.6,432.8
2,809.3,616.2
2,861,628.3
2,346.6,362.2
2,347.1,444.2
2,191.6,229.3
2,142.1,202.7
2,565.3,173.3
2,444.3,180.4
2,414.1,165.8
2,458.6,370.2
2,533.1,456.5
2,637.8,443.9
2,623.3,444.3
2,595.5,648.3
2,714.8,682.1
2,515.5,877.9
2,1024,477.7
2,669.7,514.3
2,545.4,733.9
2,521.4,581.2
2,586.9,609.5
2,428.3,825
2,397.1,820.4
2,600.6,234.2
2,604.4,351.8
2,579.9,433
2,419.9,684.5
2,392.5,595.5
2,498.9,582.1
2,393.4,781.4
2,383.9,250.7
2,435.4,276.4
2,61.5,414.3
2,678.9,420.6
2,962.1,638.2
2,1010,660.8
2,469.9,474.8
2,548.6,482.5
2,602.4,287.5
2,517.9,78.5
2,575.6,116.5
2,680.3,217.9
2,579,444
2,750.9,233.3
2,806.6,169.3
2,792.4,178.4
2,975.5,482.7
2,454.8,752.3
2,448.3,599.5
2,543.5,604.4
2,746.5,658.7
2,318.5,294.2
2,281.8,278.9
2,485.2,579.4
2,409,584.2
2,213.2,634.7
2,470.5,850.1
2,463.6,801.6
2,439.2,202.3
2,467,154.7
2,470.1,17.4
2,297.8,204
2,189.4,438.5
2,318.5,275.3
2,425.1,686.5
2,614,544.7
2,704.6,508.3
2,723.9,349.2
2,842,311.3
2,633.3,367.2
2,568.7,397.2
2,499.9,415
2,373.8,642.8
2,529.6,711.3
2,742.9,710.9
2,738.3,749.8
2,475.2,312.4
2,389,375.6
2,601.3,461.8
2,838.5,503.7
2,730,517.3
2,716.2,509.3
2,969.7,571.2
2,884.1,543.5
2,422.9,730.3
2,409.7,684.1
2,353.1,520.4
2,390.2,506.1
2,643.7,764.5
2,434.1,264.1
2,428.9,235.4
2,480.3,220.9
2,567.9,325.7
2,521.5,484
2,616.1,675.4
2,482.5,488.5
2,363.7,949.3
2,509.3,546.5
2,479.4,599.6
2,725.3,481.8
2,524.1,815.1
2,463.2,894.5
2,180.1,565.7
2,337.5,225.4
2,296.4,254.5
2,428.5,129.3
2,417,99.6
2,637.7,286.3
2,758.3,431.4
2,387.9,918.1
2,449,832.3
2,470,633.6
2,422.4,418.9
2,353.4,310.2
2,287,261
2,647.3,635.1
2,452.3,567.7
2,433.1,622.2
2,302.2,582.9
2,371.6,318.6
2,470.3,488
2,537,345
2,584.1,154.9
2,451.5,783.5
2,442.8,735.5
2,485.2,646.4
2,551.8,509.7
2,366.3,368.9
2,820.9,520.7
2,386.7,298.4
2,310,274.1
2,690.2,327.1
2,636.3,375.9
2,489.1,463.4
2,674.1,455.6
2,623,461.1
2,838.5,482.8
2,936.3,493.3
2,688.6,189.5
2,692,606.7
2,579.9,534.5
2,631,468
2,313,607.4
2,517.5,470.4
2,436.4,431.3
2,130.8,524.1
2,836.7,489.2
2,756,414.6
2,390.7,856.8
2,385.7,702.3
2,323.2,624.5
2,621.6,462.8
2,635.4,474.7
2,505.8,454
2,895.5,273.7
2,243.9,654.3
2,249.4,303.2
2,560,503.7
2,416.5,583.4
2,404.1,518.9
2,496.3,590
2,537.9,623.1
2,713.9,600.3
2,1002.3,663.9
2,495.6,208.9
2,176.6,425.4
2,664.8,381.4
2,181.8,262
2,472.2,490.2
2,533.9,458.3
2,731.4,273.3
2,771.8,223.8
2,549.4,111.8
2,493.7,58.4
2,344.2,700
2,296.2,681.6
2,323.1,584.1
2,539.2,649
2,674.2,756.5
2,656.5,870.5
2,616.6,775.4
2,813.9,779.4
2,792.6,855.1
2,563,585.3
2,420.1,728.9
2,412.4,698.7
2,381.8,721.6
2,556.3,294.8
2,631.1,231.1
2,581.6,600.8
2,608.8,532.2
2,215,408.2
2,102.5,504.2
2,405.6,173.9
2,547,134.8
2,672.9,156.1
2,406.3,194.7
2,487.1,652
2,836.7,748.9
2,583.9,276.6
2,625.8,332
2,515,542.7
2,509.9,762.5
2,358.6,616.4
2,771.8,804.4
2,811.6,791.3
2,364.2,826.1
2,461.3,748
2,507.7,473.4
2,596.9,515.8
2,344.8,311.5
2,457.2,306.2
2,756,297.1
2,869.3,354.8
2,573,125.1
2,293.4,174.6
2,579.5,259.9
2,583.8,73.8
2,537.6,46.2
2,553.1,68.3
2,750.5,212.5
2,948.6,332.2
2,908.2,482.5
2,930.1,622
2,708.5,661.8
2,866.5,787.4
2,445.6,873
2,505,824.5
2,135.2,751.2
2,245.6,427
2,173.2,424.6
2,332,300.7
2,341,180.5
2,507,453.2
2,630.3,519.8
2,532.2,856.9
2,579.8,832.3
