Obs, RMS, beta, ecc, nFix
1, 1.100, 1.600, 350.000, 3.000 
1, 1.100, 1.600, 350.000, 21.000 
1, 1.100, 1.600, 350.000, 14.000 
1, 1.100, 1.600, 350.000, 6.000 
1, 1.100, 1.600, 350.000, 9.000 
1, 1.100, 1.600, 350.000, 9.000 
1, 1.100, 1.600, 350.000, 9.000 
1, 1.100, 1.600, 350.000, 3.000 
1, 1.100, 1.600, 350.000, 56.000 
1, 1.100, 1.600, 350.000, 61.000 
1, 1.100, 1.600, 350.000, 5.000 
1, 1.100, 1.600, 350.000, 30.000 
1, 1.100, 1.600, 350.000, 11.000 
1, 1.100, 1.600, 350.000, 2.000 
1, 1.100, 1.600, 350.000, 88.000 
1, 1.100, 1.600, 350.000, 202.000 
1, 1.100, 1.600, 350.000, 10.000 
1, 0.900, 1.650, 100.000, 1.000 
1, 0.900, 1.650, 100.000, 2.000 
1, 0.900, 1.650, 100.000, 1.000 
1, 0.900, 1.650, 100.000, 1.000 
1, 0.900, 1.650, 100.000, 3.000 
1, 0.900, 1.650, 100.000, 1.000 
1, 0.900, 1.650, 100.000, 1.000 
1, 0.900, 1.650, 100.000, 1.000 
1, 0.900, 1.650, 100.000, 2.000 
1, 0.900, 1.650, 100.000, 2.000 
1, 0.900, 1.650, 100.000, 2.000 
1, 0.900, 1.650, 100.000, 1.000 
1, 0.900, 1.650, 100.000, 1.000 
1, 0.900, 1.650, 100.000, 4.000 
1, 0.900, 1.650, 100.000, 2.000 
1, 0.900, 1.650, 100.000, 1.000 
1, 0.900, 1.650, 100.000, 1.000 
1, 0.900, 1.650, 100.000, 2.000 
1, 0.900, 1.650, 100.000, 1.000 
1, 0.900, 1.650, 100.000, 2.000 
1, 0.900, 1.650, 225.000, 2.000 
1, 0.900, 1.650, 225.000, 4.000 
1, 0.900, 1.650, 225.000, 2.000 
1, 0.900, 1.650, 225.000, 3.000 
1, 0.900, 1.650, 225.000, 3.000 
1, 0.900, 1.650, 225.000, 2.000 
1, 0.900, 1.650, 225.000, 2.000 
1, 0.900, 1.650, 225.000, 3.000 
1, 0.900, 1.650, 225.000, 1.000 
1, 0.900, 1.650, 225.000, 6.000 
1, 0.900, 1.650, 225.000, 2.000 
1, 0.900, 1.650, 225.000, 1.000 
1, 0.900, 1.650, 225.000, 1.000 
1, 0.900, 1.650, 225.000, 1.000 
1, 0.900, 1.650, 225.000, 1.000 
1, 0.900, 1.650, 225.000, 5.000 
1, 0.900, 1.650, 225.000, 5.000 
1, 0.900, 1.650, 225.000, 4.000 
1, 0.900, 1.650, 225.000, 2.000 
1, 0.900, 1.650, 225.000, 3.000 
1, 0.900, 1.650, 350.000, 2.000 
1, 0.900, 1.650, 350.000, 2.000 
1, 0.900, 1.650, 350.000, 17.000 
1, 0.900, 1.650, 350.000, 2.000 
1, 0.900, 1.650, 350.000, 5.000 
1, 0.900, 1.650, 350.000, 6.000 
1, 0.900, 1.650, 350.000, 3.000 
1, 0.900, 1.650, 350.000, 6.000 
1, 0.900, 1.650, 350.000, 1.000 
1, 0.900, 1.650, 350.000, 2.000 
1, 0.900, 1.650, 350.000, 3.000 
1, 0.900, 1.650, 350.000, 3.000 
1, 0.900, 1.650, 350.000, 3.000 
1, 0.900, 1.650, 350.000, 4.000 
1, 0.900, 1.650, 350.000, 5.000 
1, 0.900, 1.650, 350.000, 4.000 
1, 0.900, 1.650, 350.000, 2.000 
1, 0.900, 1.650, 350.000, 2.000 
1, 0.900, 1.650, 350.000, 2.000 
1, 0.900, 1.650, 350.000, 8.000 
1, 1.100, 1.650, 100.000, 2.000 
1, 1.100, 1.650, 100.000, 1.000 
1, 1.100, 1.650, 100.000, 1.000 
1, 1.100, 1.650, 100.000, 124.000 
1, 1.100, 1.650, 100.000, 4.000 
1, 1.100, 1.650, 100.000, 2.000 
1, 1.100, 1.650, 100.000, 4.000 
1, 1.100, 1.650, 100.000, 1.000 
1, 1.100, 1.650, 100.000, 2.000 
1, 1.100, 1.650, 100.000, 1.000 
1, 1.100, 1.650, 100.000, 1.000 
1, 1.100, 1.650, 100.000, 2.000 
1, 1.100, 1.650, 100.000, 2.000 
1, 1.100, 1.650, 100.000, 2.000 
1, 1.100, 1.650, 100.000, 9.000 
1, 1.100, 1.650, 100.000, 1.000 
1, 1.100, 1.650, 100.000, 2.000 
1, 1.100, 1.650, 100.000, 23.000 
1, 1.100, 1.650, 100.000, 1.000 
1, 1.100, 1.650, 100.000, 4.000 
1, 1.100, 1.650, 225.000, 3.000 
1, 1.100, 1.650, 225.000, 3.000 
1, 1.100, 1.650, 225.000, 2.000 
1, 1.100, 1.650, 225.000, 8.000 
1, 1.100, 1.650, 225.000, 4.000 
1, 1.100, 1.650, 225.000, 2.000 
1, 1.100, 1.650, 225.000, 3.000 
1, 1.100, 1.650, 225.000, 2.000 
1, 1.100, 1.650, 225.000, 2.000 
1, 1.100, 1.650, 225.000, 9.000 
1, 1.100, 1.650, 225.000, 4.000 
1, 1.100, 1.650, 225.000, 7.000 
1, 1.100, 1.650, 225.000, 66.000 
1, 1.100, 1.650, 225.000, 1.000 
1, 1.100, 1.650, 225.000, 14.000 
1, 1.100, 1.650, 225.000, 1.000 
1, 1.100, 1.650, 225.000, 3.000 
1, 1.100, 1.650, 225.000, 3.000 
1, 1.100, 1.650, 225.000, 4.000 
1, 1.100, 1.650, 225.000, 2.000 
1, 1.100, 1.650, 350.000, 11.000 
1, 1.100, 1.650, 350.000, 2.000 
1, 1.100, 1.650, 350.000, 7.000 
1, 1.100, 1.650, 350.000, 4.000 
1, 1.100, 1.650, 350.000, 1.000 
1, 1.100, 1.650, 350.000, 3.000 
1, 1.100, 1.650, 350.000, 1.000 
1, 1.100, 1.650, 350.000, 8.000 
1, 1.100, 1.650, 350.000, 3.000 
1, 1.100, 1.650, 350.000, 2.000 
1, 1.100, 1.650, 350.000, 6.000 
1, 1.100, 1.650, 350.000, 4.000 
1, 1.100, 1.650, 350.000, 3.000 
1, 1.100, 1.650, 350.000, 3.000 
1, 1.100, 1.650, 350.000, 2.000 
1, 1.100, 1.650, 350.000, 2.000 
1, 1.100, 1.650, 350.000, 2.000 
1, 1.100, 1.650, 350.000, 8.000 
1, 1.100, 1.650, 350.000, 11.000 
1, 1.100, 1.650, 350.000, 24.000 
1, 0.900, 1.700, 100.000, 3.000 
1, 0.900, 1.700, 100.000, 1.000 
1, 0.900, 1.700, 100.000, 1.000 
1, 0.900, 1.700, 100.000, 2.000 
1, 0.900, 1.700, 100.000, 1.000 
1, 0.900, 1.700, 100.000, 2.000 
1, 0.900, 1.700, 100.000, 1.000 
1, 0.900, 1.700, 100.000, 2.000 
1, 0.900, 1.700, 100.000, 2.000 
1, 0.900, 1.700, 100.000, 1.000 
1, 0.900, 1.700, 100.000, 1.000 
1, 0.900, 1.700, 100.000, 1.000 
1, 0.900, 1.700, 100.000, 1.000 
1, 0.900, 1.700, 100.000, 2.000 
1, 0.900, 1.700, 100.000, 1.000 
1, 0.900, 1.700, 100.000, 1.000 
1, 0.900, 1.700, 100.000, 1.000 
1, 0.900, 1.700, 100.000, 1.000 
1, 0.900, 1.700, 100.000, 1.000 
1, 0.900, 1.700, 100.000, 1.000 
1, 0.900, 1.700, 225.000, 2.000 
1, 0.900, 1.700, 225.000, 1.000 
1, 0.900, 1.700, 225.000, 1.000 
1, 0.900, 1.700, 225.000, 2.000 
1, 0.900, 1.700, 225.000, 2.000 
1, 0.900, 1.700, 225.000, 2.000 
1, 0.900, 1.700, 225.000, 2.000 
1, 0.900, 1.700, 225.000, 3.000 
1, 0.900, 1.700, 225.000, 3.000 
1, 0.900, 1.700, 225.000, 1.000 
1, 0.900, 1.700, 225.000, 3.000 
1, 0.900, 1.700, 225.000, 1.000 
1, 0.900, 1.700, 225.000, 1.000 
1, 0.900, 1.700, 225.000, 1.000 
1, 0.900, 1.700, 225.000, 2.000 
1, 0.900, 1.700, 225.000, 2.000 
1, 0.900, 1.700, 225.000, 6.000 
1, 0.900, 1.700, 225.000, 2.000 
1, 0.900, 1.700, 225.000, 1.000 
1, 0.900, 1.700, 225.000, 1.000 
1, 0.900, 1.700, 350.000, 3.000 
1, 0.900, 1.700, 350.000, 2.000 
1, 0.900, 1.700, 350.000, 2.000 
1, 0.900, 1.700, 350.000, 5.000 
1, 0.900, 1.700, 350.000, 7.000 
1, 0.900, 1.700, 350.000, 1.000 
1, 0.900, 1.700, 350.000, 2.000 
1, 0.900, 1.700, 350.000, 4.000 
1, 0.900, 1.700, 350.000, 2.000 
1, 0.900, 1.700, 350.000, 1.000 
1, 0.900, 1.700, 350.000, 2.000 
1, 0.900, 1.700, 350.000, 3.000 
1, 0.900, 1.700, 350.000, 2.000 
1, 0.900, 1.700, 350.000, 1.000 
1, 0.900, 1.700, 350.000, 4.000 
1, 0.900, 1.700, 350.000, 1.000 
1, 0.900, 1.700, 350.000, 4.000 
1, 0.900, 1.700, 350.000, 1.000 
1, 0.900, 1.700, 350.000, 5.000 
1, 0.900, 1.700, 350.000, 2.000 
1, 1.100, 1.700, 100.000, 1.000 
1, 1.100, 1.700, 100.000, 1.000 
1, 1.100, 1.700, 100.000, 2.000 
1, 1.100, 1.700, 100.000, 2.000 
1, 1.100, 1.700, 100.000, 2.000 
1, 1.100, 1.700, 100.000, 2.000 
1, 1.100, 1.700, 100.000, 1.000 
1, 1.100, 1.700, 100.000, 1.000 
1, 1.100, 1.700, 100.000, 1.000 
1, 1.100, 1.700, 100.000, 1.000 
1, 1.100, 1.700, 100.000, 3.000 
1, 1.100, 1.700, 100.000, 1.000 
1, 1.100, 1.700, 100.000, 2.000 
1, 1.100, 1.700, 100.000, 2.000 
1, 1.100, 1.700, 100.000, 1.000 
1, 1.100, 1.700, 100.000, 2.000 
1, 1.100, 1.700, 100.000, 2.000 
1, 1.100, 1.700, 100.000, 1.000 
1, 1.100, 1.700, 100.000, 2.000 
1, 1.100, 1.700, 100.000, 1.000 
1, 1.100, 1.700, 225.000, 2.000 
1, 1.100, 1.700, 225.000, 1.000 
1, 1.100, 1.700, 225.000, 3.000 
1, 1.100, 1.700, 225.000, 3.000 
1, 1.100, 1.700, 225.000, 3.000 
1, 1.100, 1.700, 225.000, 1.000 
1, 1.100, 1.700, 225.000, 3.000 
1, 1.100, 1.700, 225.000, 4.000 
1, 1.100, 1.700, 225.000, 2.000 
1, 1.100, 1.700, 225.000, 3.000 
1, 1.100, 1.700, 225.000, 1.000 
1, 1.100, 1.700, 225.000, 3.000 
1, 1.100, 1.700, 225.000, 4.000 
1, 1.100, 1.700, 225.000, 3.000 
1, 1.100, 1.700, 225.000, 1.000 
1, 1.100, 1.700, 225.000, 4.000 
1, 1.100, 1.700, 225.000, 2.000 
1, 1.100, 1.700, 225.000, 2.000 
1, 1.100, 1.700, 225.000, 5.000 
1, 1.100, 1.700, 225.000, 2.000 
1, 1.100, 1.700, 350.000, 7.000 
1, 1.100, 1.700, 350.000, 2.000 
1, 1.100, 1.700, 350.000, 3.000 
1, 1.100, 1.700, 350.000, 4.000 
1, 1.100, 1.700, 350.000, 1.000 
1, 1.100, 1.700, 350.000, 5.000 
1, 1.100, 1.700, 350.000, 3.000 
1, 1.100, 1.700, 350.000, 5.000 
1, 1.100, 1.700, 350.000, 4.000 
1, 1.100, 1.700, 350.000, 5.000 
1, 1.100, 1.700, 350.000, 1.000 
1, 1.100, 1.700, 350.000, 3.000 
1, 1.100, 1.700, 350.000, 2.000 
1, 1.100, 1.700, 350.000, 6.000 
1, 1.100, 1.700, 350.000, 8.000 
1, 1.100, 1.700, 350.000, 4.000 
1, 1.100, 1.700, 350.000, 2.000 
1, 1.100, 1.700, 350.000, 2.000 
1, 1.100, 1.700, 350.000, 2.000 
1, 1.100, 1.700, 350.000, 1.000 
2, 0.900, 1.600, 100.000, 1.000 
2, 0.900, 1.600, 100.000, 4.000 
2, 0.900, 1.600, 100.000, 3.000 
2, 0.900, 1.600, 100.000, 26.000 
2, 0.900, 1.600, 100.000, 9.000 
2, 0.900, 1.600, 100.000, 5.000 
2, 0.900, 1.600, 100.000, 3.000 
2, 0.900, 1.600, 100.000, 1.000 
2, 0.900, 1.600, 100.000, 2.000 
2, 0.900, 1.600, 100.000, 1.000 
2, 0.900, 1.600, 100.000, 2.000 
2, 0.900, 1.600, 100.000, 12.000 
2, 0.900, 1.600, 100.000, 4.000 
2, 0.900, 1.600, 100.000, 3.000 
2, 0.900, 1.600, 100.000, 8.000 
2, 0.900, 1.600, 100.000, 2.000 
2, 0.900, 1.600, 100.000, 1.000 
2, 0.900, 1.600, 100.000, 4.000 
2, 0.900, 1.600, 100.000, 2.000 
2, 0.900, 1.600, 100.000, 4.000 
2, 0.900, 1.600, 225.000, 11.000 
2, 0.900, 1.600, 225.000, 4.000 
2, 0.900, 1.600, 225.000, 2.000 
2, 0.900, 1.600, 225.000, 2.000 
2, 0.900, 1.600, 225.000, 2.000 
2, 0.900, 1.600, 225.000, 5.000 
2, 0.900, 1.600, 225.000, 3.000 
2, 0.900, 1.600, 225.000, 1.000 
2, 0.900, 1.600, 225.000, 1.000 
2, 0.900, 1.600, 225.000, 3.000 
2, 0.900, 1.600, 225.000, 1.000 
2, 0.900, 1.600, 225.000, 2.000 
2, 0.900, 1.600, 225.000, 5.000 
2, 0.900, 1.600, 225.000, 1.000 
2, 0.900, 1.600, 225.000, 3.000 
2, 0.900, 1.600, 225.000, 7.000 
2, 0.900, 1.600, 225.000, 4.000 
2, 0.900, 1.600, 225.000, 4.000 
2, 0.900, 1.600, 225.000, 3.000 
2, 0.900, 1.600, 225.000, 5.000 
2, 0.900, 1.600, 350.000, 14.000 
2, 0.900, 1.600, 350.000, 32.000 
2, 0.900, 1.600, 350.000, 9.000 
2, 0.900, 1.600, 350.000, 3.000 
2, 0.900, 1.600, 350.000, 3.000 
2, 0.900, 1.600, 350.000, 5.000 
2, 0.900, 1.600, 350.000, 5.000 
2, 0.900, 1.600, 350.000, 6.000 
2, 0.900, 1.600, 350.000, 2.000 
2, 0.900, 1.600, 350.000, 5.000 
2, 0.900, 1.600, 350.000, 13.000 
2, 0.900, 1.600, 350.000, 7.000 
2, 0.900, 1.600, 350.000, 8.000 
2, 0.900, 1.600, 350.000, 9.000 
2, 0.900, 1.600, 350.000, 2.000 
2, 0.900, 1.600, 350.000, 1.000 
2, 0.900, 1.600, 350.000, 2.000 
2, 0.900, 1.600, 350.000, 23.000 
2, 0.900, 1.600, 350.000, 9.000 
2, 0.900, 1.600, 350.000, 8.000 
2, 1.100, 1.600, 100.000, 128.000 
2, 1.100, 1.600, 100.000, 8.000 
2, 1.100, 1.600, 100.000, 21.000 
2, 1.100, 1.600, 100.000, 2.000 
2, 1.100, 1.600, 100.000, 5.000 
2, 1.100, 1.600, 100.000, 4.000 
2, 1.100, 1.600, 100.000, 15.000 
2, 1.100, 1.600, 100.000, 2.000 
2, 1.100, 1.600, 100.000, 2.000 
2, 1.100, 1.600, 100.000, 2.000 
2, 1.100, 1.600, 100.000, 3.000 
2, 1.100, 1.600, 100.000, 2.000 
2, 1.100, 1.600, 100.000, 2.000 
2, 1.100, 1.600, 100.000, 51.000 
2, 1.100, 1.600, 100.000, 12.000 
2, 1.100, 1.600, 100.000, 3.000 
2, 1.100, 1.600, 100.000, 3.000 
2, 1.100, 1.600, 100.000, 9.000 
2, 1.100, 1.600, 100.000, 2.000 
2, 1.100, 1.600, 100.000, 5.000 
2, 1.100, 1.600, 225.000, 219.000 
2, 1.100, 1.600, 225.000, 17.000 
2, 1.100, 1.600, 225.000, 9.000 
2, 1.100, 1.600, 225.000, 4.000 
2, 1.100, 1.600, 225.000, 5.000 
2, 1.100, 1.600, 225.000, 7.000 
2, 1.100, 1.600, 225.000, 3.000 
2, 1.100, 1.600, 225.000, 3.000 
2, 1.100, 1.600, 225.000, 2.000 
2, 1.100, 1.600, 225.000, 2.000 
2, 1.100, 1.600, 225.000, 6.000 
2, 1.100, 1.600, 225.000, 10.000 
2, 1.100, 1.600, 225.000, 117.000 
2, 1.100, 1.600, 225.000, 13.000 
2, 1.100, 1.600, 225.000, 22.000 
2, 1.100, 1.600, 225.000, 1.000 
2, 1.100, 1.600, 225.000, 4.000 
2, 1.100, 1.600, 225.000, 3.000 
2, 1.100, 1.600, 225.000, 16.000 
2, 1.100, 1.600, 225.000, 3.000 
2, 1.100, 1.600, 350.000, 22.000 
2, 1.100, 1.600, 350.000, 25.000 
2, 1.100, 1.600, 350.000, 39.000 
2, 1.100, 1.600, 350.000, 21.000 
2, 1.100, 1.600, 350.000, 25.000 
2, 1.100, 1.600, 350.000, 4.000 
2, 1.100, 1.600, 350.000, 8.000 
2, 1.100, 1.600, 350.000, 4.000 
2, 1.100, 1.600, 350.000, 1.000 
2, 1.100, 1.600, 350.000, 14.000 
2, 1.100, 1.600, 350.000, 6.000 
2, 1.100, 1.600, 350.000, 38.000 
2, 1.100, 1.600, 350.000, 31.000 
2, 1.100, 1.600, 350.000, 3.000 
2, 1.100, 1.600, 350.000, 9.000 
2, 1.100, 1.600, 350.000, 3.000 
2, 1.100, 1.600, 350.000, 3.000 
2, 1.100, 1.600, 350.000, 92.000 
2, 1.100, 1.600, 350.000, 5.000 
2, 1.100, 1.600, 350.000, 8.000 
2, 0.900, 1.650, 100.000, 2.000 
2, 0.900, 1.650, 100.000, 2.000 
2, 0.900, 1.650, 100.000, 1.000 
2, 0.900, 1.650, 100.000, 3.000 
2, 0.900, 1.650, 100.000, 1.000 
2, 0.900, 1.650, 100.000, 1.000 
2, 0.900, 1.650, 100.000, 2.000 
2, 0.900, 1.650, 100.000, 2.000 
2, 0.900, 1.650, 100.000, 1.000 
2, 0.900, 1.650, 100.000, 2.000 
2, 0.900, 1.650, 100.000, 2.000 
2, 0.900, 1.650, 100.000, 2.000 
2, 0.900, 1.650, 100.000, 1.000 
2, 0.900, 1.650, 100.000, 1.000 
2, 0.900, 1.650, 100.000, 3.000 
2, 0.900, 1.650, 100.000, 1.000 
2, 0.900, 1.650, 100.000, 2.000 
2, 0.900, 1.650, 100.000, 1.000 
2, 0.900, 1.650, 100.000, 2.000 
2, 0.900, 1.650, 100.000, 2.000 
2, 0.900, 1.650, 225.000, 2.000 
2, 0.900, 1.650, 225.000, 2.000 
2, 0.900, 1.650, 225.000, 2.000 
2, 0.900, 1.650, 225.000, 4.000 
2, 0.900, 1.650, 225.000, 4.000 
2, 0.900, 1.650, 225.000, 1.000 
2, 0.900, 1.650, 225.000, 2.000 
2, 0.900, 1.650, 225.000, 2.000 
2, 0.900, 1.650, 225.000, 4.000 
2, 0.900, 1.650, 225.000, 2.000 
2, 0.900, 1.650, 225.000, 4.000 
2, 0.900, 1.650, 225.000, 1.000 
2, 0.900, 1.650, 225.000, 4.000 
2, 0.900, 1.650, 225.000, 3.000 
2, 0.900, 1.650, 225.000, 1.000 
2, 0.900, 1.650, 225.000, 3.000 
2, 0.900, 1.650, 225.000, 1.000 
2, 0.900, 1.650, 225.000, 2.000 
2, 0.900, 1.650, 225.000, 1.000 
2, 0.900, 1.650, 225.000, 3.000 
2, 0.900, 1.650, 350.000, 2.000 
2, 0.900, 1.650, 350.000, 5.000 
2, 0.900, 1.650, 350.000, 11.000 
2, 0.900, 1.650, 350.000, 3.000 
2, 0.900, 1.650, 350.000, 7.000 
2, 0.900, 1.650, 350.000, 1.000 
2, 0.900, 1.650, 350.000, 2.000 
2, 0.900, 1.650, 350.000, 4.000 
2, 0.900, 1.650, 350.000, 2.000 
2, 0.900, 1.650, 350.000, 4.000 
2, 0.900, 1.650, 350.000, 4.000 
2, 0.900, 1.650, 350.000, 1.000 
2, 0.900, 1.650, 350.000, 2.000 
2, 0.900, 1.650, 350.000, 4.000 
2, 0.900, 1.650, 350.000, 1.000 
2, 0.900, 1.650, 350.000, 1.000 
2, 0.900, 1.650, 350.000, 3.000 
2, 0.900, 1.650, 350.000, 4.000 
2, 0.900, 1.650, 350.000, 1.000 
2, 0.900, 1.650, 350.000, 3.000 
2, 1.100, 1.650, 100.000, 2.000 
2, 1.100, 1.650, 100.000, 1.000 
2, 1.100, 1.650, 100.000, 3.000 
2, 1.100, 1.650, 100.000, 3.000 
2, 1.100, 1.650, 100.000, 2.000 
2, 1.100, 1.650, 100.000, 3.000 
2, 1.100, 1.650, 100.000, 1.000 
2, 1.100, 1.650, 100.000, 2.000 
2, 1.100, 1.650, 100.000, 1.000 
2, 1.100, 1.650, 100.000, 1.000 
2, 1.100, 1.650, 100.000, 4.000 
2, 1.100, 1.650, 100.000, 4.000 
2, 1.100, 1.650, 100.000, 5.000 
2, 1.100, 1.650, 100.000, 1.000 
2, 1.100, 1.650, 100.000, 11.000 
2, 1.100, 1.650, 100.000, 1.000 
2, 1.100, 1.650, 100.000, 2.000 
2, 1.100, 1.650, 100.000, 6.000 
2, 1.100, 1.650, 100.000, 1.000 
2, 1.100, 1.650, 100.000, 4.000 
2, 1.100, 1.650, 225.000, 1.000 
2, 1.100, 1.650, 225.000, 3.000 
2, 1.100, 1.650, 225.000, 5.000 
2, 1.100, 1.650, 225.000, 1.000 
2, 1.100, 1.650, 225.000, 1.000 
2, 1.100, 1.650, 225.000, 6.000 
2, 1.100, 1.650, 225.000, 6.000 
2, 1.100, 1.650, 225.000, 5.000 
2, 1.100, 1.650, 225.000, 6.000 
2, 1.100, 1.650, 225.000, 11.000 
2, 1.100, 1.650, 225.000, 3.000 
2, 1.100, 1.650, 225.000, 2.000 
2, 1.100, 1.650, 225.000, 43.000 
2, 1.100, 1.650, 225.000, 2.000 
2, 1.100, 1.650, 225.000, 2.000 
2, 1.100, 1.650, 225.000, 3.000 
2, 1.100, 1.650, 225.000, 3.000 
2, 1.100, 1.650, 225.000, 5.000 
2, 1.100, 1.650, 225.000, 2.000 
2, 1.100, 1.650, 225.000, 2.000 
2, 1.100, 1.650, 350.000, 3.000 
2, 1.100, 1.650, 350.000, 2.000 
2, 1.100, 1.650, 350.000, 7.000 
2, 1.100, 1.650, 350.000, 2.000 
2, 1.100, 1.650, 350.000, 4.000 
2, 1.100, 1.650, 350.000, 9.000 
2, 1.100, 1.650, 350.000, 12.000 
2, 1.100, 1.650, 350.000, 18.000 
2, 1.100, 1.650, 350.000, 12.000 
2, 1.100, 1.650, 350.000, 4.000 
2, 1.100, 1.650, 350.000, 10.000 
2, 1.100, 1.650, 350.000, 5.000 
2, 1.100, 1.650, 350.000, 2.000 
2, 1.100, 1.650, 350.000, 1.000 
2, 1.100, 1.650, 350.000, 2.000 
2, 1.100, 1.650, 350.000, 3.000 
2, 1.100, 1.650, 350.000, 5.000 
2, 1.100, 1.650, 350.000, 3.000 
2, 1.100, 1.650, 350.000, 5.000 
2, 1.100, 1.650, 350.000, 6.000 
2, 0.900, 1.700, 100.000, 1.000 
2, 0.900, 1.700, 100.000, 2.000 
2, 0.900, 1.700, 100.000, 3.000 
2, 0.900, 1.700, 100.000, 1.000 
2, 0.900, 1.700, 100.000, 1.000 
2, 0.900, 1.700, 100.000, 2.000 
2, 0.900, 1.700, 100.000, 2.000 
