participantNumber, trialNum, TargetPresent, beta, seed, r, phi, respose
6, 1368, 1, 1.65, 13, 300, 135, 0
6, 1369, 1, 1.65, 17, 400, 90, 0
6, 1370, 1, 1.7, 27, 100, 0, 1
6, 1371, 1, 1.6, 8, 350, 315, 0
6, 1372, 1, 1.7, 21, 400, 45, 0
6, 1373, 1, 1.65, 15, 100, 135, 1
6, 1374, 0, 1.6, 66, NaN, NaN, 0
6, 1375, 1, 1.65, 17, 200, 0, 1
6, 1376, 0, 1.6, 87, NaN, NaN, 0
6, 1377, 1, 1.7, 28, 250, 45, 0
6, 1378, 1, 1.7, 30, 250, 225, 1
6, 1379, 1, 1.65, 20, 400, 270, 0
6, 1380, 1, 1.7, 30, 300, 135, 1
6, 1381, 0, 1.65, 134, NaN, NaN, 0
6, 1382, 0, 1.65, 218, NaN, NaN, 0
6, 1383, 1, 1.6, 10, 350, 135, 0
6, 1384, 0, 1.65, 186, NaN, NaN, 0
6, 1385, 1, 1.7, 29, 100, 180, 1
6, 1386, 0, 1.65, 159, NaN, NaN, 0
6, 1387, 1, 1.7, 29, 250, 135, 1
6, 1388, 1, 1.6, 4, 400, 270, 0
6, 1389, 1, 1.65, 15, 200, 225, 1
6, 1390, 1, 1.7, 24, 50, 225, 1
6, 1391, 1, 1.65, 16, 100, 270, 1
6, 1392, 1, 1.7, 19, 150, 45, 1
6, 1393, 1, 1.6, 9, 50, 270, 1
6, 1394, 1, 1.65, 10, 200, 45, 0
6, 1395, 1, 1.65, 10, 350, 180, 1
6, 1396, 1, 1.6, 10, 300, 315, 0
6, 1397, 1, 1.7, 21, 150, 0, 1
6, 1398, 1, 1.7, 19, 200, 315, 1
6, 1399, 0, 1.6, 114, NaN, NaN, 0
6, 1400, 1, 1.65, 14, 300, 45, 0
6, 1401, 1, 1.65, 17, 100, 225, 1
6, 1402, 1, 1.6, 6, 150, 225, 0
6, 1403, 1, 1.6, 2, 150, 45, 0
6, 1404, 1, 1.65, 18, 150, 90, 1
6, 1405, 1, 1.65, 13, 250, 45, 0
6, 1406, 1, 1.65, 10, 150, 180, 1
6, 1407, 1, 1.7, 28, 250, 315, 1
6, 1408, 1, 1.65, 19, 250, 0, 0
6, 1409, 1, 1.7, 30, 400, 180, 1
6, 1410, 1, 1.6, 5, 200, 225, 0
6, 1411, 1, 1.65, 16, 200, 270, 1
6, 1412, 1, 1.6, 2, 400, 270, 0
6, 1413, 1, 1.65, 16, 200, 225, 0
6, 1414, 0, 1.65, 182, NaN, NaN, 0
6, 1415, 1, 1.6, 3, 200, 270, 0
6, 1416, 1, 1.7, 29, 400, 225, 0
6, 1417, 1, 1.7, 21, 100, 270, 1
6, 1418, 1, 1.65, 12, 350, 0, 0
