participantNumber, trialNum, TargetPresent, beta, seed, x, y, RT
2, 200, 0, 1.6, 53, NaN, NaN, 3.177
2, 201, 1, 1.7, 136, 751, 433, 0.915
2, 202, 1, 1.6, 3, 842, 456, 2.712
2, 203, 1, 1.65, 79, 657, 196, 1.194
2, 204, 1, 1.7, 145, 550, 61, 0.602
2, 205, 0, 1.7, 52, NaN, NaN, -1.000
2, 206, 1, 1.6, 17, 727, 440, 0.627
2, 207, 1, 1.65, 87, 244, 662, 0.693
2, 208, 1, 1.65, 66, 700, 96, 1.416
2, 209, 1, 1.65, 89, 441, 912, 5.138
2, 210, 1, 1.65, 93, 433, 877, 0.757
2, 211, 1, 1.65, 101, 636, 749, 0.528
2, 212, 0, 1.7, 51, NaN, NaN, -1.000
2, 213, 1, 1.65, 21, 279, 204, 0.517
2, 214, 1, 1.7, 45, 842, 661, 0.880
2, 215, 1, 1.6, 37, 306, 678, 1.980
2, 216, 0, 1.65, 35, NaN, NaN, -1.000
2, 217, 1, 1.6, 22, 388, 881, 33.161
2, 218, 1, 1.7, 128, 581, 843, 0.542
2, 219, 1, 1.6, 38, 292, 481, 25.492
2, 220, 1, 1.7, 150, 612, 166, 1.146
2, 221, 1, 1.65, 73, 124, 462, 2.238
2, 222, 1, 1.7, 165, 350, 412, 0.652
2, 223, 0, 1.6, 13, NaN, NaN, -1.000
2, 224, 1, 1.65, 74, 734, 915, 0.870
2, 225, 1, 1.6, 45, 814, 61, 2.903
2, 226, 0, 1.7, 176, NaN, NaN, -1.000
2, 227, 1, 1.6, 46, 426, 313, 0.915
2, 228, 1, 1.6, 19, 199, 699, 2.680
2, 229, 1, 1.65, 78, 238, 246, 1.203
2, 230, 1, 1.6, 1, 622, 498, 1.345
