participantNumber, trialNum, TargetPresent, beta, seed, x, y, RT
2, 190, 1, 1.6, 21, 842, 661, 3.583
2, 191, 1, 1.7, 202, 675, 885, 0.544
2, 192, 0, 1.65, 159, NaN, NaN, -1.000
2, 193, 1, 1.6, 29, 536, 902, 5.784
2, 194, 0, 1.6, 77, NaN, NaN, -1.000
2, 195, 1, 1.6, 1, 622, 498, 0.912
2, 196, 1, 1.65, 129, 293, 404, 1.566
2, 197, 0, 1.65, 154, NaN, NaN, 3.689
2, 198, 1, 1.7, 181, 871, 349, 0.894
2, 199, 0, 1.65, 157, NaN, NaN, -1.000
2, 200, 1, 1.7, 213, 174, 538, 0.914
2, 201, 1, 1.7, 194, 890, 642, 2.050
2, 202, 1, 1.7, 221, 326, 602, 0.684
2, 203, 1, 1.7, 228, 777, 390, 0.820
2, 204, 1, 1.6, 68, 710, 666, 0.662
2, 205, 1, 1.65, 101, 769, 758, 1.551
2, 206, 1, 1.7, 174, 233, 529, 0.687
2, 207, 1, 1.6, 70, 641, 751, 0.746
2, 208, 1, 1.7, 199, 887, 261, 0.665
2, 209, 1, 1.65, 123, 420, 475, 0.543
2, 210, 1, 1.65, 93, 796, 502, 0.676
2, 211, 1, 1.7, 182, 478, 936, 0.508
2, 212, 1, 1.65, 134, 485, 925, 2.561
2, 213, 1, 1.6, 30, 278, 259, 2.269
2, 214, 1, 1.65, 138, 90, 455, 0.966
2, 215, 1, 1.6, 26, 859, 582, 4.836
2, 216, 1, 1.7, 179, 773, 680, 0.675
2, 217, 1, 1.7, 222, 823, 684, 0.990
2, 218, 1, 1.65, 96, 118, 681, 1.519
2, 219, 1, 1.6, 27, 380, 720, 0.762
2, 220, 1, 1.7, 216, 342, 902, 0.781
2, 221, 1, 1.7, 204, 791, 389, 0.567
2, 222, 1, 1.6, 50, 87, 466, 1.881
2, 223, 1, 1.65, 143, 731, 234, 0.713
2, 224, 0, 1.7, 238, NaN, NaN, -1.000
2, 225, 0, 1.7, 234, NaN, NaN, 0.891
2, 226, 1, 1.65, 118, 436, 385, 1.051
2, 227, 1, 1.6, 33, 528, 342, 3.060
2, 228, 1, 1.65, 135, 462, 824, 0.640
2, 229, 1, 1.6, 13, 727, 440, 1.552
2, 230, 1, 1.65, 146, 215, 467, 1.612
2, 231, 0, 1.7, 240, NaN, NaN, -1.000
2, 232, 1, 1.7, 209, 319, 173, 0.903
2, 233, 1, 1.65, 149, 581, 125, 0.961
2, 234, 1, 1.6, 48, 377, 647, 1.074
2, 235, 1, 1.7, 224, 945, 575, 0.842
2, 236, 0, 1.6, 73, NaN, NaN, -1.000
2, 237, 1, 1.7, 186, 433, 677, 0.747
2, 238, 1, 1.6, 19, 875, 608, 0.881
2, 239, 0, 1.65, 156, NaN, NaN, -1.000
2, 240, 1, 1.7, 170, 652, 175, 0.773
